web-scraper-order,web-scraper-start-url,restaurants,restaurants-href,menu
1554986580-86,https://deliveroo.ie/restaurants/dublin/international-financial-services-centre?geohash=gc7x3zvfy45g&category=american,Five Guys15 – 25min4.3Very good(50+)BurgersAmericanMilkshakesPowerlist,https://deliveroo.ie/menu/dublin/dublin-2/five-guys-ireland?day=today&time=ASAP,Little Cheeseburger
1554986575-80,https://deliveroo.ie/restaurants/dublin/international-financial-services-centre?geohash=gc7x3zvfy45g&category=american,Chick'n Lick'n15 – 25min4.3Very good(50+)BurgersChickenAmerican,https://deliveroo.ie/menu/dublin/dublin-1/chickn-lickn?day=today&time=ASAP,2 Strip Burgers
1554986544-18,https://deliveroo.ie/restaurants/dublin/international-financial-services-centre?geohash=gc7x3zvfy45g&category=american,Favourite Fried Chicken10 – 20min< 3.5(25)ChickenAmerican,https://deliveroo.ie/menu/dublin/portobello/favourite-fried-chicken?day=today&time=ASAP,Cod Fish & Chips
1554986546-25,https://deliveroo.ie/restaurants/dublin/international-financial-services-centre?geohash=gc7x3zvfy45g&category=american,Pitt Bros BBQ South35 – 45min4.5Excellent(50+)BBQAmerican,https://deliveroo.ie/menu/dublin/dublin-2/pitt-bros?day=today&time=ASAP,Sausage
1554986580-82,https://deliveroo.ie/restaurants/dublin/international-financial-services-centre?geohash=gc7x3zvfy45g&category=american,Five Guys15 – 25min4.3Very good(50+)BurgersAmericanMilkshakesPowerlist,https://deliveroo.ie/menu/dublin/dublin-2/five-guys-ireland?day=today&time=ASAP,Cheeseburger
1554986589-94,https://deliveroo.ie/restaurants/dublin/international-financial-services-centre?geohash=gc7x3zvfy45g&category=american,KFC 10 – 20min4.2Very good(50+)AmericanBurgersFried chickenChickenPowerlist,https://deliveroo.ie/menu/dublin/temple-bar/11779-kfc-dublin-westmoreland-street?day=today&time=ASAP,6 Pieces Wicked Variety Bucket
1554986564-55,https://deliveroo.ie/restaurants/dublin/international-financial-services-centre?geohash=gc7x3zvfy45g&category=american,DFC (Dublin Fried Chicken)15 – 25min4.2Very good(50+)AmericanChickenMeal Deals,https://deliveroo.ie/menu/dublin/dublin-1/dfc-dublin-fried-chicken?day=today&time=ASAP,Margherita Pizza
1554986544-17,https://deliveroo.ie/restaurants/dublin/international-financial-services-centre?geohash=gc7x3zvfy45g&category=american,Favourite Fried Chicken10 – 20min< 3.5(25)ChickenAmerican,https://deliveroo.ie/menu/dublin/portobello/favourite-fried-chicken?day=today&time=ASAP,Donner Kebab
1554986546-21,https://deliveroo.ie/restaurants/dublin/international-financial-services-centre?geohash=gc7x3zvfy45g&category=american,Pitt Bros BBQ South35 – 45min4.5Excellent(50+)BBQAmerican,https://deliveroo.ie/menu/dublin/dublin-2/pitt-bros?day=today&time=ASAP,Pulled Pork
1554986580-81,https://deliveroo.ie/restaurants/dublin/international-financial-services-centre?geohash=gc7x3zvfy45g&category=american,Five Guys15 – 25min4.3Very good(50+)BurgersAmericanMilkshakesPowerlist,https://deliveroo.ie/menu/dublin/dublin-2/five-guys-ireland?day=today&time=ASAP,Hamburger
1554986562-51,https://deliveroo.ie/restaurants/dublin/international-financial-services-centre?geohash=gc7x3zvfy45g&category=american,Bobo's15 – 25min4.2Very good(50+)AmericanBurgers,https://deliveroo.ie/menu/dublin/dublin-1/bobos-abbey-st?day=today&time=ASAP,The Conn
1554986589-102,https://deliveroo.ie/restaurants/dublin/international-financial-services-centre?geohash=gc7x3zvfy45g&category=american,KFC 10 – 20min4.2Very good(50+)AmericanBurgersFried chickenChickenPowerlist,https://deliveroo.ie/menu/dublin/temple-bar/11779-kfc-dublin-westmoreland-street?day=today&time=ASAP,10 Pieces Bargain Bucket
1554986550-27,https://deliveroo.ie/restaurants/dublin/international-financial-services-centre?geohash=gc7x3zvfy45g&category=american,Bondiola Argentina15 – 25min4.4Very good(50+)ArgentinianAmericanSouth american,https://deliveroo.ie/menu/dublin/ballsbridge-d4/bondiola-argentina?day=today&time=ASAP,Set Menu for 1
1554986556-36,https://deliveroo.ie/restaurants/dublin/international-financial-services-centre?geohash=gc7x3zvfy45g&category=american,SuperSubs15 – 25min3.9Good(50+)SaladsSandwichesBreakfastAmerican,https://deliveroo.ie/menu/dublin/dublin-1/supersubs?day=today&time=ASAP,Tuna Melt
1554986564-67,https://deliveroo.ie/restaurants/dublin/international-financial-services-centre?geohash=gc7x3zvfy45g&category=american,DFC (Dublin Fried Chicken)15 – 25min4.2Very good(50+)AmericanChickenMeal Deals,https://deliveroo.ie/menu/dublin/dublin-1/dfc-dublin-fried-chicken?day=today&time=ASAP,DFC Special Pizza
1554986556-40,https://deliveroo.ie/restaurants/dublin/international-financial-services-centre?geohash=gc7x3zvfy45g&category=american,SuperSubs15 – 25min3.9Good(50+)SaladsSandwichesBreakfastAmerican,https://deliveroo.ie/menu/dublin/dublin-1/supersubs?day=today&time=ASAP,Beef Brisket
1554986572-73,https://deliveroo.ie/restaurants/dublin/international-financial-services-centre?geohash=gc7x3zvfy45g&category=american,Camden Rotisserie15 – 25min4.5Excellent(50+)AmericanBurgersChickenPowerlist,https://deliveroo.ie/menu/dublin/dublin-2/camden-rotisserie?day=today&time=ASAP,Spicy Nachos (V) (GF)
1554986564-63,https://deliveroo.ie/restaurants/dublin/international-financial-services-centre?geohash=gc7x3zvfy45g&category=american,DFC (Dublin Fried Chicken)15 – 25min4.2Very good(50+)AmericanChickenMeal Deals,https://deliveroo.ie/menu/dublin/dublin-1/dfc-dublin-fried-chicken?day=today&time=ASAP,Chicken Tandoori Pizza
1554986559-46,https://deliveroo.ie/restaurants/dublin/international-financial-services-centre?geohash=gc7x3zvfy45g&category=american,The Chili Shack30 – 40min4.4Very good(50+)AmericanBurgersPowerlist,https://deliveroo.ie/menu/dublin/stoneybatter/the-chili-shack-dublin?day=today&time=ASAP,Veggie Special
1554986544-20,https://deliveroo.ie/restaurants/dublin/international-financial-services-centre?geohash=gc7x3zvfy45g&category=american,Favourite Fried Chicken10 – 20min< 3.5(25)ChickenAmerican,https://deliveroo.ie/menu/dublin/portobello/favourite-fried-chicken?day=today&time=ASAP,"4 Pieces Chicken, 4 Wings & 2 Chicken Burgers"
1554986589-101,https://deliveroo.ie/restaurants/dublin/international-financial-services-centre?geohash=gc7x3zvfy45g&category=american,KFC 10 – 20min4.2Very good(50+)AmericanBurgersFried chickenChickenPowerlist,https://deliveroo.ie/menu/dublin/temple-bar/11779-kfc-dublin-westmoreland-street?day=today&time=ASAP,6 Pieces Bargain Bucket
1554986564-58,https://deliveroo.ie/restaurants/dublin/international-financial-services-centre?geohash=gc7x3zvfy45g&category=american,DFC (Dublin Fried Chicken)15 – 25min4.2Very good(50+)AmericanChickenMeal Deals,https://deliveroo.ie/menu/dublin/dublin-1/dfc-dublin-fried-chicken?day=today&time=ASAP,Pepperoni Pizza
1554986546-24,https://deliveroo.ie/restaurants/dublin/international-financial-services-centre?geohash=gc7x3zvfy45g&category=american,Pitt Bros BBQ South35 – 45min4.5Excellent(50+)BBQAmerican,https://deliveroo.ie/menu/dublin/dublin-2/pitt-bros?day=today&time=ASAP,The Bourbon Ribs
1554986585-92,https://deliveroo.ie/restaurants/dublin/international-financial-services-centre?geohash=gc7x3zvfy45g&category=american,Rocket's10 – 20min4.3Very good(50+)BurgersAmericanDessertPowerlist,https://deliveroo.ie/menu/dublin/international-financial-services-centre/rockets?day=today&time=ASAP,Bacon Cheeseburger
1554986580-84,https://deliveroo.ie/restaurants/dublin/international-financial-services-centre?geohash=gc7x3zvfy45g&category=american,Five Guys15 – 25min4.3Very good(50+)BurgersAmericanMilkshakesPowerlist,https://deliveroo.ie/menu/dublin/dublin-2/five-guys-ireland?day=today&time=ASAP,Bacon Cheeseburger
1554986570-69,https://deliveroo.ie/restaurants/dublin/international-financial-services-centre?geohash=gc7x3zvfy45g&category=american,My Meat Wagon15 – 25min4.6Excellent(50+)BBQAmerican,https://deliveroo.ie/menu/dublin/smithfield/my-meat-wagon?day=today&time=ASAP,MMW Sharing Board For Two
1554986553-31,https://deliveroo.ie/restaurants/dublin/international-financial-services-centre?geohash=gc7x3zvfy45g&category=american,Token25 – 35min4.4Very good(50+)AmericanBurgersDrinksChickenNew,https://deliveroo.ie/menu/dublin/arran-quay/token-ireland?day=today&time=ASAP,The Bacon Cheebee
1554986553-32,https://deliveroo.ie/restaurants/dublin/international-financial-services-centre?geohash=gc7x3zvfy45g&category=american,Token25 – 35min4.4Very good(50+)AmericanBurgersDrinksChickenNew,https://deliveroo.ie/menu/dublin/arran-quay/token-ireland?day=today&time=ASAP,Main Chick
1554986575-79,https://deliveroo.ie/restaurants/dublin/international-financial-services-centre?geohash=gc7x3zvfy45g&category=american,Chick'n Lick'n15 – 25min4.3Very good(50+)BurgersChickenAmerican,https://deliveroo.ie/menu/dublin/dublin-1/chickn-lickn?day=today&time=ASAP,Zingar Burger
1554986582-89,https://deliveroo.ie/restaurants/dublin/international-financial-services-centre?geohash=gc7x3zvfy45g&category=american,Subway10 – 20min4.4Very good(50+)AmericanSandwichesMeal Deals,https://deliveroo.ie/menu/dublin/rathmines/subway-rathmines?day=today&time=ASAP,Lunch for One Deal
1554986562-54,https://deliveroo.ie/restaurants/dublin/international-financial-services-centre?geohash=gc7x3zvfy45g&category=american,Bobo's15 – 25min4.2Very good(50+)AmericanBurgers,https://deliveroo.ie/menu/dublin/dublin-1/bobos-abbey-st?day=today&time=ASAP,The Sun Blush
1554986556-39,https://deliveroo.ie/restaurants/dublin/international-financial-services-centre?geohash=gc7x3zvfy45g&category=american,SuperSubs15 – 25min3.9Good(50+)SaladsSandwichesBreakfastAmerican,https://deliveroo.ie/menu/dublin/dublin-1/supersubs?day=today&time=ASAP,Brie'LT
1554986562-50,https://deliveroo.ie/restaurants/dublin/international-financial-services-centre?geohash=gc7x3zvfy45g&category=american,Bobo's15 – 25min4.2Very good(50+)AmericanBurgers,https://deliveroo.ie/menu/dublin/dublin-1/bobos-abbey-st?day=today&time=ASAP,The Hawaiian
1554986580-85,https://deliveroo.ie/restaurants/dublin/international-financial-services-centre?geohash=gc7x3zvfy45g&category=american,Five Guys15 – 25min4.3Very good(50+)BurgersAmericanMilkshakesPowerlist,https://deliveroo.ie/menu/dublin/dublin-2/five-guys-ireland?day=today&time=ASAP,Little Hamburger
1554986562-49,https://deliveroo.ie/restaurants/dublin/international-financial-services-centre?geohash=gc7x3zvfy45g&category=american,Bobo's15 – 25min4.2Very good(50+)AmericanBurgers,https://deliveroo.ie/menu/dublin/dublin-1/bobos-abbey-st?day=today&time=ASAP,The Plain Jane
1554986575-77,https://deliveroo.ie/restaurants/dublin/international-financial-services-centre?geohash=gc7x3zvfy45g&category=american,Chick'n Lick'n15 – 25min4.3Very good(50+)BurgersChickenAmerican,https://deliveroo.ie/menu/dublin/dublin-1/chickn-lickn?day=today&time=ASAP,Supreme Burger
1554986589-100,https://deliveroo.ie/restaurants/dublin/international-financial-services-centre?geohash=gc7x3zvfy45g&category=american,KFC 10 – 20min4.2Very good(50+)AmericanBurgersFried chickenChickenPowerlist,https://deliveroo.ie/menu/dublin/temple-bar/11779-kfc-dublin-westmoreland-street?day=today&time=ASAP,14 Pieces Family Feast
1554986589-95,https://deliveroo.ie/restaurants/dublin/international-financial-services-centre?geohash=gc7x3zvfy45g&category=american,KFC 10 – 20min4.2Very good(50+)AmericanBurgersFried chickenChickenPowerlist,https://deliveroo.ie/menu/dublin/temple-bar/11779-kfc-dublin-westmoreland-street?day=today&time=ASAP,10 Pieces Wicked Variety Bucket
1554986564-59,https://deliveroo.ie/restaurants/dublin/international-financial-services-centre?geohash=gc7x3zvfy45g&category=american,DFC (Dublin Fried Chicken)15 – 25min4.2Very good(50+)AmericanChickenMeal Deals,https://deliveroo.ie/menu/dublin/dublin-1/dfc-dublin-fried-chicken?day=today&time=ASAP,Asian Style Pizza
1554986564-64,https://deliveroo.ie/restaurants/dublin/international-financial-services-centre?geohash=gc7x3zvfy45g&category=american,DFC (Dublin Fried Chicken)15 – 25min4.2Very good(50+)AmericanChickenMeal Deals,https://deliveroo.ie/menu/dublin/dublin-1/dfc-dublin-fried-chicken?day=today&time=ASAP,Meat Feast Pizza
1554986538-12,https://deliveroo.ie/restaurants/dublin/international-financial-services-centre?geohash=gc7x3zvfy45g&category=american,Luigi Malones25 – 35min3.8Good(50+)AmericanPizza,https://deliveroo.ie/menu/dublin/dublin-2/luigi-malones?day=today&time=ASAP,Soup of the Day
1554986572-74,https://deliveroo.ie/restaurants/dublin/international-financial-services-centre?geohash=gc7x3zvfy45g&category=american,Camden Rotisserie15 – 25min4.5Excellent(50+)AmericanBurgersChickenPowerlist,https://deliveroo.ie/menu/dublin/dublin-2/camden-rotisserie?day=today&time=ASAP,Chicken Tenders (Regular)
1554986589-103,https://deliveroo.ie/restaurants/dublin/international-financial-services-centre?geohash=gc7x3zvfy45g&category=american,KFC 10 – 20min4.2Very good(50+)AmericanBurgersFried chickenChickenPowerlist,https://deliveroo.ie/menu/dublin/temple-bar/11779-kfc-dublin-westmoreland-street?day=today&time=ASAP,14 Pieces Bargain Bucket
1554986585-93,https://deliveroo.ie/restaurants/dublin/international-financial-services-centre?geohash=gc7x3zvfy45g&category=american,Rocket's10 – 20min4.3Very good(50+)BurgersAmericanDessertPowerlist,https://deliveroo.ie/menu/dublin/international-financial-services-centre/rockets?day=today&time=ASAP,Chilli Burger
1554986538-7,https://deliveroo.ie/restaurants/dublin/international-financial-services-centre?geohash=gc7x3zvfy45g&category=american,Luigi Malones25 – 35min3.8Good(50+)AmericanPizza,https://deliveroo.ie/menu/dublin/dublin-2/luigi-malones?day=today&time=ASAP,Gambas
1554986556-42,https://deliveroo.ie/restaurants/dublin/international-financial-services-centre?geohash=gc7x3zvfy45g&category=american,SuperSubs15 – 25min3.9Good(50+)SaladsSandwichesBreakfastAmerican,https://deliveroo.ie/menu/dublin/dublin-1/supersubs?day=today&time=ASAP,Chipotle Chicken & Double Pepperoni Melt
1554986546-23,https://deliveroo.ie/restaurants/dublin/international-financial-services-centre?geohash=gc7x3zvfy45g&category=american,Pitt Bros BBQ South35 – 45min4.5Excellent(50+)BBQAmerican,https://deliveroo.ie/menu/dublin/dublin-2/pitt-bros?day=today&time=ASAP,Pitt Bros Original Ribs
1554986589-97,https://deliveroo.ie/restaurants/dublin/international-financial-services-centre?geohash=gc7x3zvfy45g&category=american,KFC 10 – 20min4.2Very good(50+)AmericanBurgersFried chickenChickenPowerlist,https://deliveroo.ie/menu/dublin/temple-bar/11779-kfc-dublin-westmoreland-street?day=today&time=ASAP,12 Pieces Deluxe Boneless Feast
1554986562-52,https://deliveroo.ie/restaurants/dublin/international-financial-services-centre?geohash=gc7x3zvfy45g&category=american,Bobo's15 – 25min4.2Very good(50+)AmericanBurgers,https://deliveroo.ie/menu/dublin/dublin-1/bobos-abbey-st?day=today&time=ASAP,The Cashel
1554986556-37,https://deliveroo.ie/restaurants/dublin/international-financial-services-centre?geohash=gc7x3zvfy45g&category=american,SuperSubs15 – 25min3.9Good(50+)SaladsSandwichesBreakfastAmerican,https://deliveroo.ie/menu/dublin/dublin-1/supersubs?day=today&time=ASAP,Texan Chicken & Bacon
1554986564-65,https://deliveroo.ie/restaurants/dublin/international-financial-services-centre?geohash=gc7x3zvfy45g&category=american,DFC (Dublin Fried Chicken)15 – 25min4.2Very good(50+)AmericanChickenMeal Deals,https://deliveroo.ie/menu/dublin/dublin-1/dfc-dublin-fried-chicken?day=today&time=ASAP,Vegetarian Pizza
1554986589-98,https://deliveroo.ie/restaurants/dublin/international-financial-services-centre?geohash=gc7x3zvfy45g&category=american,KFC 10 – 20min4.2Very good(50+)AmericanBurgersFried chickenChickenPowerlist,https://deliveroo.ie/menu/dublin/temple-bar/11779-kfc-dublin-westmoreland-street?day=today&time=ASAP,6 Pieces Family Feast
1554986564-62,https://deliveroo.ie/restaurants/dublin/international-financial-services-centre?geohash=gc7x3zvfy45g&category=american,DFC (Dublin Fried Chicken)15 – 25min4.2Very good(50+)AmericanChickenMeal Deals,https://deliveroo.ie/menu/dublin/dublin-1/dfc-dublin-fried-chicken?day=today&time=ASAP,Chicken and Mushroom Pizza
1554986550-28,https://deliveroo.ie/restaurants/dublin/international-financial-services-centre?geohash=gc7x3zvfy45g&category=american,Bondiola Argentina15 – 25min4.4Very good(50+)ArgentinianAmericanSouth american,https://deliveroo.ie/menu/dublin/ballsbridge-d4/bondiola-argentina?day=today&time=ASAP,Set Menu for 2
